title,description,category,wholesale_price,selling_price,mrp,stock,gst_percent,hsn_code,image_url_1,image_url_2,image_url_3,is_active
Act II Golden Sizzle Popcorn - Instant - 1 pack,"Act II Golden Sizzle Popcorn ? crispy and delicious snack perfect for anytime munching, Instant.",Groceries,10,9,10,20,5,1101,,,,
Active Adult Chicken and Vegetables Dog Food - Buy 1 Get 1 Free - 6 kg (2 x 3 kg),"Active Adult Chicken and Vegetables Dog Food ? nutritionally balanced pet food for a healthy and active pet, Buy 1 Get 1 Free.",Groceries,765,742,789,20,12,2309,,,,
Active Chicken & Vegetables Dry Puppy Food - Buy 1 Get 1 Free - 6 kg (2 x 3 kg),"Active Chicken & Vegetables Dry Puppy Food ? nutritionally balanced pet food for a healthy and active pet, Buy 1 Get 1 Free.",Groceries,824,799,849,20,12,2309,,,,
Active Fresh Chicken & Veggie Wet Dog Food - 2 x 300g,"Active Fresh Chicken & Veggie Wet Dog Food ? nutritionally balanced pet food for a healthy and active pet, 2 x 300g.",Groceries,290,281,299,20,12,2309,,,,
"Adidas Drum Duffle Bag (Polyester, Black) - 1 unit","Adidas Drum Duffle Bag (Polyester, Black) ? stylish accessory to complement your everyday look.",Fashion,"1,551","1,504","1,599",20,12,6204,,,,
Adidas KC0421 Solid Men's Track Pants (Black) - 1 piece,"Adidas KC0421 Solid Men's Track Pants (Black) ? quality kitchenware for everyday cooking and dining, 1 piece.",Fashion,"1,745","1,693","1,799",20,12,6204,,,,
Adidas Men's Flip-Flops (Black) - 1 pair,Adidas Men's Flip-Flops (Black) ? lightweight and comfortable footwear for daily wear.,Fashion,"1,454","1,410","1,499",20,12,6204,,,,
Adidas Pure Game 48H Body Spray (Deep Aromatic) - 150 ML,"Adidas Pure Game 48H Body Spray (Deep Aromatic) ? long-lasting fragrance for all-day freshness and confidence, 150 ML.",Beauty,387,375,399,20,18,3304,,,,
adidas Pure Game Eau de Toilette - 100 ML,"adidas Pure Game Eau de Toilette ? pure cooking oil ideal for healthy and flavourful everyday cooking, 100 ML.",Beauty,"1,600","1,552","1,650",20,18,3304,,,,
Adidas Regular Fit Men's T-shirt (White) - 1 piece,"Adidas Regular Fit Men's T-shirt (White) ? effective protection against mosquitoes and insects for a peaceful night, 1 piece.",Fashion,969,940,999,20,12,6204,,,,
Adiyogi God Idol by Aksharveda - 1 unit,"Adiyogi God Idol by Aksharveda ? beautiful addition to your home or prayer space, 1 unit.",Home,194,188,200,20,12,3926,,,,
Adrenaline Rush Energy Drink - Ultimate Performance - 300 ml,"Adrenaline Rush Energy Drink ? refreshing drink to quench your thirst anytime, Ultimate Performance.",Groceries,58,56,60,20,12,2202,,,,
Aer Plug Electric Air Freshener with Refills (Violet Bloom) - 1 unit,"Aer Plug Electric Air Freshener with Refills (Violet Bloom) ? long-lasting fragrance to keep your home smelling fresh and pleasant, 1 unit.",Home,242,234,249,20,18,3402,,,,
Again Caustic Washing Soda - 450 g,"Again Caustic Washing Soda ? refreshing drink to quench your thirst anytime, 450 g.",Groceries,213,207,220,20,12,2202,,,,
"Ailkin 25W Fast Samsung Charger Adapter (Type C Port, 25 W) - 1 unit","Fast and reliable ailkin 25w fast samsung charger adapter (type c port, 25 w) for quick device charging, 1 unit.",Electronics,"1,939","1,881","1,999",10,18,8543,,,,
Ailkin 27W Type C to Lightning Cable (for iPhone 14/13/12/11 Pro) - 1 unit,"Fast and reliable ailkin 27w type c to lightning cable (for iphone 14/13/12/11 pro) for quick device charging, 1 unit.",Electronics,"2,909","2,822","2,999",10,18,8543,,,,
"Ailkin AKB75855501 Voice Magic Remote with Pointer Function (for LG Smart TV, Black) - 1 unit","Ailkin AKB75855501 Voice Magic Remote with Pointer Function (for LG Smart TV, Black) designed for smooth performance and everyday convenience.",Electronics,"2,909","2,822","2,999",10,18,8543,,,,
Ailkin Mi Voice TV Remote - 1 unit,Ailkin Mi Voice TV Remote designed for smooth performance and everyday convenience.,Electronics,"2,909","2,822","2,999",10,18,8543,,,,
Ailkin Nothing Type C Adapter (45 W) - 1 unit,"Fast and reliable ailkin nothing type c adapter (45 w) for quick device charging, 1 unit.",Electronics,"2,909","2,822","2,999",10,18,8543,,,,
Ailkin Supervooc Ultra Fast Charging Adapter with Cable (100 W) - 1 unit,"Fast and reliable ailkin supervooc ultra fast charging adapter with cable (100 w) for quick device charging, 1 unit.",Electronics,"2,909","2,822","2,999",10,18,8543,,,,
Ailkin Supervooc Ultra Fast Charging Adapter with Cable (80W) - 1 unit,"Fast and reliable ailkin supervooc ultra fast charging adapter with cable (80w) for quick device charging, 1 unit.",Electronics,"2,909","2,822","2,999",10,18,8543,,,,
Ailkin Type C Charging Adapter (25 W) - 1 unit,"Fast and reliable ailkin type c charging adapter (25 w) for quick device charging, 1 unit.",Electronics,"1,939","1,881","1,999",10,18,8543,,,,
Ailkin USB-C Superfast Charging Adapter with Cable (25 W) - 1 unit,"Fast and reliable ailkin usb-c superfast charging adapter with cable (25 w) for quick device charging, 1 unit.",Electronics,"2,909","2,822","2,999",10,18,8543,,,,
AIR strike pistal - 1 pice,"AIR strike pistal ? quality product for everyday use, 1 pice.",Groceries,387,375,399,5,,,,,,
Airwick Air Freshener Kit (Machine + Summer Delights Refill) (Summer Delights) - 250 ml,Airwick Air Freshener Kit (Machine + Summer Delights Refill) (Summer Delights) ? energy-efficient lighting solution for home and office use.,Home,581,564,599,10,18,3402,,,,
Airwick Freshmatic Air Freshener Refill (Summer Delights) - 250 ml,Airwick Freshmatic Air Freshener Refill (Summer Delights) ? energy-efficient lighting solution for home and office use.,Home,320,310,330,10,18,3402,,,,
Airwick Freshmatic Automatic Room Freshener (Rose & Saffron) - 250 ml,"Airwick Freshmatic Automatic Room Freshener (Rose & Saffron) ? long-lasting fragrance to keep your home smelling fresh and pleasant, 250 ml.",Home,320,310,330,10,18,3402,,,,
All Out Ultra 12 Hour Action Mosquito Coil - 1 pack,"All Out Ultra 12 Hour Action Mosquito Coil ? pure cooking oil ideal for healthy and flavourful everyday cooking, 1 pack.",Home,41,40,42,10,18,3808,,,,
All Out Ultra Liquid Vaporizer Mosquito Killer Machine with Refill - 1 piece + 45 ml,All Out Ultra Liquid Vaporizer Mosquito Killer Machine with Refill offering precision and convenience for daily household needs.,Home,73,71,75,10,18,3808,,,,
All Out Ultra Liquid Vaporizer Mosquito Killer Machine - 1 unit,All Out Ultra Liquid Vaporizer Mosquito Killer Machine offering precision and convenience for daily household needs.,Home,175,169,180,10,18,3808,,,,
All Out Ultra Mosquito Killer Machine Refill (Floral Fragrance) - 45 ml,All Out Ultra Mosquito Killer Machine Refill (Floral Fragrance) offering precision and convenience for daily household needs.,Home,82,80,85,10,18,3808,,,,
All Out Ultra Mosquito Killer Machine Refill - 1 pack (4 x 45 ml),All Out Ultra Mosquito Killer Machine Refill offering precision and convenience for daily household needs.,Home,301,292,310,10,18,3808,,,,
All Out Ultra Power + Slider Mosquito Killer Machine - 1 pack,All Out Ultra Power + Slider Mosquito Killer Machine offering precision and convenience for daily household needs.,Home,184,179,190,10,18,3808,,,,
All Out Ultra Sattva Liquid Mosquito Repellent Refill - 45 ml,"All Out Ultra Sattva Liquid Mosquito Repellent Refill ? effective protection against mosquitoes and insects for a peaceful night, 45 ml.",Home,97,94,100,10,18,3808,,,,
Alpenliebe Grande with Choco Delight Eclair - 129.6 GM,Alpenliebe Grande with Choco Delight Eclair ? energy-efficient lighting solution for home and office use.,Groceries,48,47,50,10,18,1806,,,,
Alpenliebe Juicyfills Assorted Candy (40 Pieces) - 155.1 GM,"Alpenliebe Juicyfills Assorted Candy (40 Pieces) ? sweet and flavourful candy treat loved by all ages, 155.1 GM.",Groceries,53,52,55,10,18,1806,,,,
Alpenliebe Pop Assorted Flavours Lollipop (with Toy Inside) - 72 GM,"Alpenliebe Pop Assorted Flavours Lollipop (with Toy Inside) ? sweet and flavourful candy treat loved by all ages, 72 GM.",Groceries,48,47,50,10,18,1806,,,,
Alpino Strawberry & Nuts Super Muesli - 1 KG,"Alpino Strawberry & Nuts Super Muesli ? wholesome breakfast option packed with nutrients and fibre, 1 KG.",Groceries,484,470,499,10,5,1101,,,,
Aluminium foil box - 1pc,"Aluminium foil box ? pure cooking oil ideal for healthy and flavourful everyday cooking, 1pc.",Home,165,160,170,10,18,3923,,,,
Am Safe-X Disposable Surgical 3 Ply Mask - 1 pack (100 pieces),"Am Safe-X Disposable Surgical 3 Ply Mask ? protective face mask for safe and comfortable wear, 1 pack (100 pieces).",Health & Wellness,581,564,599,10,12,3005,,,,
Am Safe-X Mop Cloth (Cotton) - 1 pack (2 pieces),"Am Safe-X Mop Cloth (Cotton) ? quality product for everyday use, 1 pack (2 pieces).",Home,484,470,499,10,18,3402,,,,
Ambari Byadgi Chilli Powder - 200 g,"Ambari Byadgi Chilli Powder ? freshly ground spice blend to add authentic flavour to your cooking, 200 g.",Beauty,189,183,195,10,18,3304,,,,
Ambi Pur Lavender Bouquet Air Freshener (Lavender) - 275 g,"Ambi Pur Lavender Bouquet Air Freshener (Lavender) ? long-lasting fragrance to keep your home smelling fresh and pleasant, 275 g.",Home,271,263,279,10,18,3402,,,,
Ambrane Magsafe Wireless 10000 mAh Power Bank - 1 unit,Ambrane Magsafe Wireless 10000 mAh Power Bank ? portable power solution to keep your devices charged on the go.,Electronics,"2,909","2,822","2,999",10,18,8543,,,,
Ambrane Stylo 10 Fast charging Slim 10000 mAh Power Bank - 1 unit,Ambrane Stylo 10 Fast charging Slim 10000 mAh Power Bank ? portable power solution to keep your devices charged on the go.,Electronics,"1,745","1,693","1,799",10,18,8543,,,,
amla vatika long & black 340 ml - 340ml,"amla vatika long & black 340 ml ? quality product for everyday use, 340ml.",Beauty,278,270,287,40,18,3304,,,,
Amul 55% Cocoa Dark Chocolate Bar - 150 g,"Amul 55% Cocoa Dark Chocolate Bar ? indulgent chocolate treat with rich cocoa flavour, 150 g.",Groceries,194,188,200,10,12,2202,,,,
Amul Bitter Dark Chocolate Bar - 150 g,"Amul Bitter Dark Chocolate Bar ? indulgent chocolate treat with rich cocoa flavour, 150 g.",Groceries,175,169,180,10,12,2202,,,,
Amul Buffalo Ghee - 1 l,"Amul Buffalo Ghee ? pure and aromatic ghee prepared from fresh milk, rich in taste, 1 l.",Groceries,660,640,680,10,12,405,,,,
Amul Cheese Block - 1 KG,"Amul Cheese Block ? smooth and rich cheese ideal for snacking, cooking and baking, 1 KG.",Groceries,548,532,565,10,12,405,,,,
Amul Cheese Slices - 100 GM,"Amul Cheese Slices ? smooth and rich cheese ideal for snacking, cooking and baking, 100 GM.",Groceries,80,77,82,10,12,405,,,,
Amul Chocominis Chocolate Gift Pack - 250 g,"Amul Chocominis Chocolate Gift Pack ? indulgent chocolate treat with rich cocoa flavour, 250 g.",Groceries,126,122,130,10,12,2202,,,,
Amul Cow Ghee - 1l,"Amul Cow Ghee ? pure and aromatic ghee prepared from fresh milk, rich in taste, 1l.",Groceries,655,635,675,10,12,405,,,,
Amul Cow Ghee - 500 ml,"Amul Cow Ghee ? pure and aromatic ghee prepared from fresh milk, rich in taste, 500 ml.",Groceries,325,315,335,10,12,405,,,,
Amul Dark Chocolate Bar - 35 gm,"Amul Dark Chocolate Bar ? indulgent chocolate treat with rich cocoa flavour, 35 gm.",Groceries,44,42,45,10,12,2202,,,,
amul dark compound dco-18 - 1pc,"amul dark compound dco-18 ? quality product for everyday use, 1pc.",Groceries,257,249,265,30,18,1806,,,,
Amul Dark Emerald Mint Chocolate Gift Pack - 308 g,"Amul Dark Emerald Mint Chocolate Gift Pack ? indulgent chocolate treat with rich cocoa flavour, 308 g.",Groceries,204,198,210,10,12,2202,,,,
Amul Dehraduni Organic Basmati Rice - 1 kg,"Amul Dehraduni Organic Basmati Rice ? premium quality rice with long grains, ideal for everyday meals, 1 kg.",Groceries,184,179,190,10,5,1101,,,,
Amul Edam Traditional Dutch Cheese Block 250 g - 250 g,"Amul Edam Traditional Dutch Cheese Block 250 g ? smooth and rich cheese ideal for snacking, cooking and baking, 250 g.",Groceries,199,193,205,10,12,405,,,,
Amul Fresh Cream - 250 ML,"Amul Fresh Cream ? hydrating formula to keep your skin soft and smooth, 250 ML.",Groceries,70,68,72,10,12,405,,,,
Amul Organic Atta (Whole Wheat) - 1 kg,"Amul Organic Atta (Whole Wheat) ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 1 kg.",Groceries,73,71,75,10,5,1101,,,,
Amul Organic Besan - 500 g,"Amul Organic Besan ? quality product for everyday use, 500 g.",Groceries,89,87,92,10,5,1101,,,,
Amul Organic Chana Dal - 500 g,"Amul Organic Chana Dal ? premium quality pulses, nutritious and easy to cook, 500 g.",Groceries,85,83,88,10,5,1101,,,,
Amul Organic Sonamasuri Rice - 1 kg,"Amul Organic Sonamasuri Rice ? premium quality rice with long grains, ideal for everyday meals, 1 kg.",Groceries,102,99,105,10,5,1101,,,,
Amul Organic Sugar - 1 kg,"Amul Organic Sugar ? natural sweetener for everyday use in food and beverages, 1 kg.",Groceries,78,75,80,10,5,1701,,,,
Amul Pure Desi Ghee - 1l,"Amul Pure Desi Ghee ? pure and aromatic ghee prepared from fresh milk, rich in taste, 1l.",Groceries,563,546,580,10,12,405,,,,
Amul Pure Ghee - 1 l,"Amul Pure Ghee ? pure and aromatic ghee prepared from fresh milk, rich in taste, 1 l.",Groceries,601,583,620,10,12,405,,,,
Amul Real Mango Amrakhand - 500 GM,"Amul Real Mango Amrakhand ? quality product for everyday use, 500 GM.",Groceries,112,108,115,10,,,,,,
Amul Salted Butter (Chiplets) - 100 GM,"Amul Salted Butter (Chiplets) ? creamy and fresh butter, perfect for cooking and spreading, 100 GM.",Groceries,73,71,75,10,12,405,,,,
Amul Sugar Free Dark Chocolate Bar - 150 g,"Amul Sugar Free Dark Chocolate Bar ? indulgent chocolate treat with rich cocoa flavour, 150 g.",Groceries,175,169,180,10,12,2202,,,,
Amul Whole Wheat Atta - 5 kg,"Amul Whole Wheat Atta ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 5 kg.",Groceries,213,207,220,10,5,1101,,,,
Amul Whole Wheat Chakki Atta - 1kg,"Amul Whole Wheat Chakki Atta ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 1kg.",Groceries,47,45,48,100,5,1101,,,,
Amul Whole Wheat Chakki Atta - 5 kg,"Amul Whole Wheat Chakki Atta ? freshly milled whole wheat flour perfect for soft rotis and parathas, available in 5 kg.",Groceries,233,226,240,10,5,1101,,,,
Amulspray Baby Milk Powder - 1 kg,"Amulspray Baby Milk Powder ? high-quality dairy whitener for tea, coffee and beverages, 1 kg.",Beauty,461,447,475,10,18,3304,,,,
Amulya Dairy Whitener - 500 g,"Amulya Dairy Whitener ? high-quality dairy whitener for tea, coffee and beverages, 500 g.",Groceries,228,221,235,10,12,405,,,,
Ant Esports Digital Kitchen Weighing Machine - 1 unit,Ant Esports Digital Kitchen Weighing Machine offering precision and convenience for daily household needs.,Electronics,"1,163","1,128","1,199",10,18,8543,,,,
Ant Esports MK1450 RGB Backlit Membrane Wired Gaming Keyboard (Black) - 1 unit,Ant Esports MK1450 RGB Backlit Membrane Wired Gaming Keyboard (Black) designed for smooth performance and everyday convenience.,Electronics,"1,066","1,034","1,099",10,18,8543,,,,
Ant Value FKBRI02 Keyboard & Mouse Combo (Black) - 1 unit,Ant Value FKBRI02 Keyboard & Mouse Combo (Black) designed for smooth performance and everyday convenience.,Electronics,872,846,899,10,18,8543,,,,
anti mosquito hit black - 1pc,"anti mosquito hit black ? effective protection against mosquitoes and insects for a peaceful night, 1pc.",Home,219,213,226,3,18,3808,,,,
Anti-dandruff shampoo Bare Flake reduction technology - 1pc,"Anti-dandruff shampoo Bare Flake reduction technology ? nourishing formula for healthy, strong and shiny hair, 1pc.",Beauty,529,513,545,10,18,3304,,,,
Anveshan A2 Gir Cow Ghee (Bilona Churned) - 150 ML,"Anveshan A2 Gir Cow Ghee (Bilona Churned) ? pure and aromatic ghee prepared from fresh milk, rich in taste, 150 ML.",Groceries,335,325,345,10,12,405,,,,
Anveshan Premium Raw Chia Seeds - 300 g,"Anveshan Premium Raw Chia Seeds ? quality product for everyday use, 300 g.",Groceries,368,357,379,10,18,1806,,,,
Apple 20W USB-C Power Adapter - 1 piece,"Fast and reliable apple 20w usb-c power adapter for quick device charging, 1 piece.",Electronics,"1,843","1,788","1,900",10,18,8543,,,,
Apsara Assorted Drawing Pencils - 1 pack (7 pieces),"Apsara Assorted Drawing Pencils ? quality product for everyday use, 1 pack (7 pieces).",Home,48,47,50,10,12,4820,,,,
Apsara Long Point Pencil Sharpener (Multicolour) Pack of 5(Carton) - 5 pieces,"Apsara Long Point Pencil Sharpener (Multicolour) Pack of 5(Carton) ? quality product for everyday use, 5 pieces.",Home,24,24,25,10,12,4820,,,,
Aptamil Gold Stage 2 Follow up Formula (6 months+) - 1.2 kg,"Aptamil Gold Stage 2 Follow up Formula (6 months+) ? quality product for everyday use, 1.2 kg.",Health & Wellness,"2,716","2,635","2,800",10,12,3401,,,,
Aqualogica Body Care Gift Set (Sun Kissed Vanilla) - 1 pack (3 pieces),"Aqualogica Body Care Gift Set (Sun Kissed Vanilla) ? quality product for everyday use, 1 pack (3 pieces).",Groceries,969,940,999,10,,,,,,
Arata onion conditioner 200 ml - 200ml,"Arata onion conditioner 200 ml ? nourishing formula for healthy, strong and shiny hair, 200ml.",Beauty,290,281,299,20,18,3304,,,,
Aravi 10 m Braided Twisted Nylon Cloth Rope (Multicolour) - 1 unit,"Aravi 10 m Braided Twisted Nylon Cloth Rope (Multicolour) ? quality product for everyday use, 1 unit.",Tools & Hardware,193,187,199,10,18,5607,,,,
Aravi Fabric Cotton Kitchen Cloth - 1 pack (6 pieces),"Aravi Fabric Cotton Kitchen Cloth ? quality product for everyday use, 1 pack (6 pieces).",Groceries,193,187,199,10,,,,,,
Aravi Flexible Honeycomb Ice Tray (Silicone) - 1 piece,"Aravi Flexible Honeycomb Ice Tray (Silicone) ? natural sweetener for everyday use in food and beverages, 1 piece.",Groceries,145,140,149,10,5,1701,,,,
Aravi Rat Trap Cage - 1 piece,"Aravi Rat Trap Cage ? quality product for everyday use, 1 piece.",Home,291,282,300,10,18,3808,,,,
Archer Tech Lab Precision 100 Wireless Mouse (White) - 1 unit,Archer Tech Lab Precision 100 Wireless Mouse (White) designed for smooth performance and everyday convenience.,Electronics,969,940,999,10,18,8543,,,,
Archies Best Sis Ever Photo Frame with light - 1 unit,Archies Best Sis Ever Photo Frame with light ? energy-efficient lighting solution for home and office use.,Home,"1,163","1,128","1,199",10,12,3926,,,,
Ariel Front Load Detergent Powder 2 kg - 2 kg,"Ariel Front Load Detergent Powder 2 kg ? premium makeup for a flawless and long-lasting look, 2 kg.",Beauty,640,621,660,20,18,3304,,,,
Ariel Lavender Power Gel Top Load Liquid Detergent - 900 g,"Ariel Lavender Power Gel Top Load Liquid Detergent ? powerful cleaning formula for sparkling clean results every time, 900 g.",Home,189,183,195,10,18,3402,,,,
Ariel Matic 4 in 1 Detergent Pods - 18 x 17.80 g,"Ariel Matic 4 in 1 Detergent Pods ? powerful cleaning formula for sparkling clean results every time, 18 x 17.80 g.",Home,484,470,499,10,18,3402,,,,
ariel matic front load (5 kg) - 5kg,"ariel matic front load (5 kg) ? powerful cleaning formula for sparkling clean results every time, 5kg.",Home,"1,842","1,787","1,899",20,18,3402,,,,
Ariel Matic Front Load Detergent Powder - Free 500 ml Liquid Detergent Inside - 6kg + 500ml,"Ariel Matic Front Load Detergent Powder ? premium makeup for a flawless and long-lasting look, Free 500 ml Liquid Detergent Inside.",Beauty,"1,479","1,435","1,525",10,18,3304,,,,
Ariel Matic Machine Expert Top Load Detergent Powder with Free Liquid Detergent - 6.3 kg,Ariel Matic Machine Expert Top Load Detergent Powder with Free Liquid Detergent offering precision and convenience for daily household needs.,Beauty,"1,116","1,082","1,150",10,18,3304,,,,
Ariel Perfect Wash Detergent Powder - 5 kg,"Ariel Perfect Wash Detergent Powder ? premium makeup for a flawless and long-lasting look, 5 kg.",Beauty,775,752,799,10,18,3304,,,,
Ariel Power Gel Jumbo Front Load Liquid Detergent - 6 KG,"Ariel Power Gel Jumbo Front Load Liquid Detergent ? powerful cleaning formula for sparkling clean results every time, 6 KG.",Home,"1,173","1,138","1,209",10,18,3402,,,,
Ariel Power Gel Top Load Liquid Detergent - 4 kg,"Ariel Power Gel Top Load Liquid Detergent ? powerful cleaning formula for sparkling clean results every time, 4 kg.",Home,742,720,765,10,18,3402,,,,
Ariel Top Load Detergent Powder 2 kg - 2 kg,"Ariel Top Load Detergent Powder 2 kg ? premium makeup for a flawless and long-lasting look, 2 kg.",Beauty,577,560,595,10,18,3304,,,,
Arnier color naturals - 1pc,"Arnier color naturals ? quality product for everyday use, 1pc.",Groceries,96,93,99,10,,,,,,
Aromahpure Gel Air Freshener (Lavender Haze) - 10 g,"Aromahpure Gel Air Freshener (Lavender Haze) ? long-lasting fragrance to keep your home smelling fresh and pleasant, 10 g.",Home,53,52,55,10,18,3402,,,,
Aromahpure Gel Wave Hanging Air Freshener - 5 x 10 g,"Aromahpure Gel Wave Hanging Air Freshener ? long-lasting fragrance to keep your home smelling fresh and pleasant, 5 x 10 g.",Home,267,259,275,10,18,3402,,,,
Artengo by Decathlon Kuikma Men Quick Dry Sports Shorts (Black) - 1 unit,Artengo by Decathlon Kuikma Men Quick Dry Sports Shorts (Black) ? comfortable and stylish wear for everyday use.,Fashion,581,564,599,10,12,6204,,,,
Asaya Even Tone Under Arm Spray - 100 ml,"Asaya Even Tone Under Arm Spray ? quality product for everyday use, 100 ml.",Groceries,484,470,499,10,,,,,,
AS-IT-IS Nutrition ATOM Whey Protein with DigeZyme & Probiotics - 6 x 36 g,"AS-IT-IS Nutrition ATOM Whey Protein with DigeZyme & Probiotics ? nutritional supplement to support your health and wellness goals, 6 x 36 g.",Health & Wellness,"1,060","1,028","1,093",10,12,3005,,,,
As-It-Is ONE Whey Protein Concentrate (Unflavoured) - 1 KG,"As-It-Is ONE Whey Protein Concentrate (Unflavoured) ? nutritional supplement to support your health and wellness goals, 1 KG.",Home,"3,174","3,079","3,272",10,18,3808,,,,
Atmosphere Studio Blueberry Lavender Kombucha - 210 ml,"Atmosphere Studio Blueberry Lavender Kombucha ? quality product for everyday use, 210 ml.",Groceries,213,207,220,10,,,,,,
AuraCam Gold Standard Camphor Pod/Cone (Lavender) - 60 g,"AuraCam Gold Standard Camphor Pod/Cone (Lavender) ? quality product for everyday use, 60 g.",Home,193,187,199,10,12,3926,,,,
Ausha Electric Toothbrush - 1 unit,"Ausha Electric Toothbrush ? complete oral care for a clean and fresh mouth all day, 1 unit.",Beauty,"1,454","1,410","1,499",10,18,3304,,,,
Ausha Mosquito Killer Machine - 1 unit,Ausha Mosquito Killer Machine offering precision and convenience for daily household needs.,Home,969,940,999,10,18,3808,,,,
aveeno baby (227 g) - 227g,"aveeno baby (227 g) ? gentle and safe product designed for your little one's comfort, 227g.",Health & Wellness,"1,261","1,223","1,300",20,12,3401,,,,
Aveeno Daily Moisturise Baby Wash & Shampoo - 354 ML,"Aveeno Daily Moisturise Baby Wash & Shampoo ? nourishing formula for healthy, strong and shiny hair, 354 ML.",Beauty,837,812,863,10,18,3304,,,,
averX Plastic Pull & Chop Vegetable & Fruit Chopper (1000 ml) - 1 unit,"averX Plastic Pull & Chop Vegetable & Fruit Chopper (1000 ml) ? quality product for everyday use, 1 unit.",Groceries,678,658,699,10,,,,,,
Avvatar Whey Protein (Malai Kulfi) - 1 kg,"Avvatar Whey Protein (Malai Kulfi) ? nutritional supplement to support your health and wellness goals, 1 kg.",Health & Wellness,"4,102","3,979","4,229",10,12,3005,,,,
Awsum Banana Walnut Slice Cake - 60 g,"Awsum Banana Walnut Slice Cake ? quality product for everyday use, 60 g.",Groceries,97,94,100,10,18,1806,,,,
Awsum Better Bake Mawa Teacake - 40 g,"Awsum Better Bake Mawa Teacake ? aromatic and refreshing brew to energise your day, 40 g.",Groceries,34,33,35,10,12,2106,,,,
Awsum Better Bakes Chocolate Cake - 150 g,"Awsum Better Bakes Chocolate Cake ? indulgent chocolate treat with rich cocoa flavour, 150 g.",Groceries,146,141,150,10,12,2202,,,,
Awsum Better Bakes Dark Chocolate Cherry Muffin - 50 g,"Awsum Better Bakes Dark Chocolate Cherry Muffin ? indulgent chocolate treat with rich cocoa flavour, 50 g.",Groceries,48,47,50,10,12,2202,,,,
Awsum Handcrafted Premium Plum Cake (Eggless) - 200 g,"Awsum Handcrafted Premium Plum Cake (Eggless) ? quality product for everyday use, 200 g.",Groceries,146,141,150,10,12,2106,,,,
Awsum Lemon Blueberry Slice Cake - 60 g,"Awsum Lemon Blueberry Slice Cake ? quality product for everyday use, 60 g.",Groceries,97,94,100,10,12,2106,,,,
